tipo_impresion,material,cantidad,ancho_cm,alto_cm,tiempo_produccion_minutos,retraso_critico
Plotter,Lona Banner,11,220.82,250.66,740.28,0
Serigrafia,Plástico,479,40.0,50.0,291.28,0
Plotter,Lona Banner,35,162.85,123.63,875.1,0
Plotter,Microperforado,29,223.42,149.35,1193.61,0
Serigrafia,Plástico,71,40.0,50.0,74.86,0
Plotter,Microperforado,11,118.31,477.89,774.12,0
Plotter,Lona Banner,21,277.38,435.81,3064.86,0
Digital,Couché 150g,133,21.0,29.7,16.39,0
Plotter,Microperforado,3,127.99,194.33,112.62,0
Plotter,Lona Banner,38,107.49,145.9,745.85,0
Plotter,Vinilo Adhesivo,12,190.69,262.19,747.65,0
Digital,Couché 150g,588,21.0,29.7,57.83,1
Serigrafia,Plástico,128,40.0,50.0,113.57,0
Serigrafia,Plástico,76,40.0,50.0,87.6,0
Serigrafia,Plástico,436,40.0,50.0,269.08,0
Digital,Bond 80g,398,21.0,29.7,46.87,1
Plotter,Vinilo Adhesivo,46,165.52,50.55,499.0,0
Offset,Bond 90g,12536,70.0,100.0,123.42,0
Serigrafia,Cartón,58,40.0,50.0,80.06,1
Digital,Cartulina Hilo,727,21.0,29.7,55.61,0
Serigrafia,Plástico,263,40.0,50.0,171.86,0
Digital,Cartulina Hilo,550,21.0,29.7,60.91,1
Serigrafia,Cartón,444,40.0,50.0,260.47,0
Digital,Couché 150g,113,21.0,29.7,27.88,1
Offset,Folkote,27589,70.0,100.0,212.69,0
Digital,Couché 150g,369,21.0,29.7,46.73,1
Digital,Bond 80g,215,21.0,29.7,35.03,1
Plotter,Microperforado,32,214.25,390.68,3253.51,0
Serigrafia,Plástico,90,40.0,50.0,98.46,1
Plotter,Microperforado,17,75.7,306.91,503.8,0
Serigrafia,Plástico,141,40.0,50.0,111.67,0
Serigrafia,Plástico,197,40.0,50.0,155.33,0
Offset,Folkote,7368,70.0,100.0,105.23,0
Offset,Couché 300g,28424,70.0,100.0,212.41,0
Offset,Folkote,44201,70.0,100.0,306.76,0
Serigrafia,Plástico,215,40.0,50.0,170.48,0
Serigrafia,Plástico,192,40.0,50.0,147.41,0
Plotter,Lona Banner,34,60.3,351.67,897.25,0
Offset,Folkote,27015,70.0,100.0,218.88,0
Serigrafia,Plástico,90,40.0,50.0,96.98,0
Plotter,Vinilo Adhesivo,28,250.43,202.75,1740.0,0
Plotter,Lona Banner,7,215.21,298.85,583.75,0
Serigrafia,Plástico,432,40.0,50.0,265.64,0
Offset,Couché 300g,34282,70.0,100.0,263.27,0
Plotter,Vinilo Adhesivo,12,111.78,121.8,221.43,0
Offset,Folkote,14612,70.0,100.0,132.48,0
Offset,Couché 300g,5780,70.0,100.0,114.44,0
Offset,Couché 300g,19311,70.0,100.0,169.69,0
Serigrafia,Cartón,337,40.0,50.0,223.93,0
Digital,Couché 150g,356,21.0,29.7,29.69,0
Offset,Bond 90g,3920,70.0,100.0,106.58,1
Offset,Folkote,26658,70.0,100.0,197.01,0
Digital,Cartulina Hilo,84,21.0,29.7,34.84,1
Serigrafia,Cartón,494,40.0,50.0,289.43,0
Serigrafia,Tela,399,40.0,50.0,227.81,0
Plotter,Vinilo Adhesivo,21,231.79,384.22,2255.64,0
Digital,Bond 80g,413,21.0,29.7,36.63,0
Plotter,Vinilo Adhesivo,20,176.21,294.49,1301.33,0
Digital,Bond 80g,299,21.0,29.7,44.07,1
Serigrafia,Plástico,166,40.0,50.0,143.69,0
Serigrafia,Plástico,384,40.0,50.0,221.56,0
Serigrafia,Tela,467,40.0,50.0,284.5,0
Offset,Folkote,30426,70.0,100.0,238.47,0
Serigrafia,Tela,420,40.0,50.0,246.12,0
Digital,Cartulina Hilo,692,21.0,29.7,45.97,0
Serigrafia,Cartón,286,40.0,50.0,200.46,0
Plotter,Microperforado,33,82.89,372.12,1250.23,0
Offset,Couché 300g,24279,70.0,100.0,212.99,0
Offset,Couché 300g,1525,70.0,100.0,95.38,1
Serigrafia,Plástico,383,40.0,50.0,210.4,0
Digital,Couché 150g,983,21.0,29.7,77.94,1
Offset,Folkote,5648,70.0,100.0,108.68,0
Digital,Couché 150g,672,21.0,29.7,54.89,0
Digital,Cartulina Hilo,63,21.0,29.7,10.0,0
Serigrafia,Tela,179,40.0,50.0,136.85,0
Serigrafia,Plástico,280,40.0,50.0,181.38,0
Offset,Bond 90g,27616,70.0,100.0,201.88,0
Offset,Couché 300g,3113,70.0,100.0,107.73,1
Serigrafia,Plástico,213,40.0,50.0,166.88,0
Plotter,Lona Banner,45,109.26,155.6,946.54,0
Offset,Bond 90g,11831,70.0,100.0,144.11,0
Offset,Bond 90g,6724,70.0,100.0,118.58,0
Serigrafia,Cartón,306,40.0,50.0,193.06,0
Offset,Folkote,7276,70.0,100.0,117.87,0
Plotter,Lona Banner,1,113.13,211.66,44.82,0
Serigrafia,Cartón,333,40.0,50.0,208.28,0
Plotter,Microperforado,49,226.35,250.87,3389.58,0
Digital,Cartulina Hilo,416,21.0,29.7,42.77,1
Digital,Cartulina Hilo,965,21.0,29.7,77.05,1
Digital,Couché 150g,931,21.0,29.7,59.18,0
Plotter,Lona Banner,37,283.47,192.27,2456.21,0
Plotter,Vinilo Adhesivo,49,196.17,359.69,4174.13,0
Serigrafia,Plástico,300,40.0,50.0,170.45,0
Plotter,Lona Banner,43,54.34,195.41,578.64,0
Plotter,Microperforado,47,180.43,204.19,2111.96,0
Digital,Couché 150g,343,21.0,29.7,53.23,1
Plotter,Vinilo Adhesivo,42,233.22,123.07,1466.25,0
Digital,Cartulina Hilo,390,21.0,29.7,47.27,1
Digital,Cartulina Hilo,401,21.0,29.7,38.54,0
Serigrafia,Plástico,407,40.0,50.0,246.59,0
Serigrafia,Cartón,339,40.0,50.0,216.67,0
Serigrafia,Plástico,242,40.0,50.0,165.69,0
Offset,Bond 90g,16504,70.0,100.0,177.55,0
Serigrafia,Plástico,75,40.0,50.0,84.51,0
Plotter,Microperforado,12,78.28,407.98,500.38,0
Plotter,Lona Banner,4,219.13,147.05,173.78,0
Offset,Folkote,14380,70.0,100.0,163.21,0
Plotter,Microperforado,41,76.65,346.03,1334.27,0
Serigrafia,Cartón,225,40.0,50.0,160.79,0
Plotter,Lona Banner,13,245.6,305.16,1204.79,0
Plotter,Lona Banner,38,131.76,350.42,2138.92,0
Offset,Couché 300g,37321,70.0,100.0,268.82,0
Offset,Folkote,26426,70.0,100.0,213.48,0
Serigrafia,Tela,414,40.0,50.0,250.5,0
Plotter,Vinilo Adhesivo,7,51.44,196.06,115.97,0
Offset,Bond 90g,28723,70.0,100.0,230.33,0
Digital,Couché 150g,964,21.0,29.7,93.48,1
Plotter,Microperforado,29,162.17,156.89,902.53,0
Offset,Folkote,45298,70.0,100.0,295.48,0
Offset,Bond 90g,40778,70.0,100.0,283.4,0
Digital,Bond 80g,991,21.0,29.7,64.06,0
Plotter,Lona Banner,9,144.95,438.5,691.44,0
Plotter,Microperforado,29,135.31,221.09,1093.98,0
Digital,Bond 80g,353,21.0,29.7,52.88,1
Offset,Bond 90g,44790,70.0,100.0,323.35,0
Digital,Couché 150g,92,21.0,29.7,36.4,1
Digital,Bond 80g,547,21.0,29.7,58.1,1
Plotter,Lona Banner,44,288.88,58.2,925.38,0
Serigrafia,Tela,330,40.0,50.0,212.81,0
Digital,Bond 80g,853,21.0,29.7,65.76,0
Serigrafia,Tela,339,40.0,50.0,220.03,0
Plotter,Microperforado,14,171.47,165.55,497.01,0
Digital,Bond 80g,800,21.0,29.7,53.96,0
Offset,Couché 300g,14467,70.0,100.0,128.21,0
Plotter,Microperforado,36,229.41,229.96,2312.95,0
Plotter,Microperforado,13,153.39,104.85,286.39,0
Offset,Bond 90g,49713,70.0,100.0,313.88,0
Offset,Folkote,30734,70.0,100.0,247.14,0
Digital,Bond 80g,361,21.0,29.7,45.27,1
Serigrafia,Cartón,290,40.0,50.0,174.07,0
Offset,Bond 90g,25611,70.0,100.0,207.46,0
Serigrafia,Plástico,133,40.0,50.0,125.47,1
Offset,Folkote,43368,70.0,100.0,291.09,0
Digital,Cartulina Hilo,221,21.0,29.7,37.3,1
Serigrafia,Cartón,428,40.0,50.0,254.71,0
Plotter,Microperforado,13,200.4,418.63,1335.93,0
Offset,Couché 300g,38384,70.0,100.0,270.93,0
Offset,Folkote,17393,70.0,100.0,157.34,0
Offset,Couché 300g,32401,70.0,100.0,226.19,0
Digital,Bond 80g,633,21.0,29.7,59.82,1
Digital,Bond 80g,908,21.0,29.7,85.5,1
Plotter,Microperforado,37,125.52,379.38,2148.6,0
Serigrafia,Cartón,394,40.0,50.0,250.92,0
Offset,Couché 300g,1145,70.0,100.0,75.05,0
Offset,Bond 90g,43422,70.0,100.0,296.43,0
Serigrafia,Cartón,291,40.0,50.0,186.03,0
Serigrafia,Tela,157,40.0,50.0,117.64,0
Serigrafia,Cartón,275,40.0,50.0,207.18,0
Serigrafia,Plástico,199,40.0,50.0,125.58,0
Serigrafia,Plástico,481,40.0,50.0,274.87,0
Offset,Folkote,41390,70.0,100.0,274.55,0
Plotter,Lona Banner,32,209.49,165.6,1356.67,0
Serigrafia,Tela,458,40.0,50.0,275.64,0
Serigrafia,Plástico,307,40.0,50.0,205.17,0
Serigrafia,Plástico,195,40.0,50.0,127.0,0
Offset,Bond 90g,29482,70.0,100.0,203.73,0
Plotter,Microperforado,41,223.11,496.07,5455.55,0
Plotter,Vinilo Adhesivo,46,76.03,375.95,1591.53,0
Digital,Bond 80g,85,21.0,29.7,34.88,1
Offset,Couché 300g,46799,70.0,100.0,320.3,0
Offset,Couché 300g,17456,70.0,100.0,179.44,0
Serigrafia,Cartón,185,40.0,50.0,123.13,0
Digital,Bond 80g,757,21.0,29.7,50.63,0
Serigrafia,Tela,318,40.0,50.0,196.41,0
Plotter,Vinilo Adhesivo,5,67.48,338.08,167.22,0
Digital,Bond 80g,825,21.0,29.7,69.56,1
Serigrafia,Plástico,349,40.0,50.0,227.84,0
Offset,Bond 90g,36196,70.0,100.0,242.41,0
Digital,Couché 150g,179,21.0,29.7,32.06,1
Digital,Cartulina Hilo,776,21.0,29.7,48.8,0
Plotter,Lona Banner,35,232.66,259.34,2550.95,0
Serigrafia,Tela,313,40.0,50.0,193.25,0
Digital,Cartulina Hilo,502,21.0,29.7,51.71,1
Offset,Bond 90g,43828,70.0,100.0,307.25,0
Digital,Couché 150g,360,21.0,29.7,49.94,1
Offset,Couché 300g,1207,70.0,100.0,65.47,0
Offset,Couché 300g,4083,70.0,100.0,77.2,0
Digital,Couché 150g,706,21.0,29.7,36.94,0
Offset,Folkote,8446,70.0,100.0,112.24,0
Serigrafia,Plástico,397,40.0,50.0,252.15,0
Plotter,Microperforado,1,260.51,284.43,126.56,0
Plotter,Vinilo Adhesivo,6,114.26,404.56,365.8,0
Digital,Couché 150g,509,21.0,29.7,60.47,1
Offset,Folkote,10715,70.0,100.0,117.87,0
Plotter,Microperforado,2,145.23,205.84,92.85,0
Plotter,Microperforado,9,177.43,421.38,839.4,0
Digital,Bond 80g,515,21.0,29.7,49.79,1
Serigrafia,Cartón,360,40.0,50.0,229.49,0
Plotter,Microperforado,15,298.04,433.14,2348.37,0
Plotter,Vinilo Adhesivo,42,175.29,228.73,2072.64,0
Plotter,Lona Banner,30,269.49,440.63,4311.65,0
Offset,Couché 300g,9325,70.0,100.0,118.01,0
Digital,Cartulina Hilo,575,21.0,29.7,49.25,0
Offset,Couché 300g,9264,70.0,100.0,116.98,0
Serigrafia,Tela,255,40.0,50.0,167.06,0
Offset,Bond 90g,39675,70.0,100.0,280.5,0
Serigrafia,Plástico,499,40.0,50.0,295.7,0
Plotter,Microperforado,25,169.84,191.18,993.85,0
Offset,Couché 300g,32055,70.0,100.0,238.29,0
Offset,Bond 90g,38685,70.0,100.0,263.26,0
Digital,Bond 80g,532,21.0,29.7,60.92,1
Serigrafia,Plástico,474,40.0,50.0,287.1,0
Offset,Folkote,49519,70.0,100.0,332.57,0
Offset,Folkote,36732,70.0,100.0,259.23,0
Plotter,Lona Banner,32,80.51,317.43,1016.65,0
Plotter,Vinilo Adhesivo,31,176.54,247.78,1660.04,0
Plotter,Lona Banner,29,54.42,321.15,630.29,0
Plotter,Lona Banner,23,88.01,77.61,216.37,0
Plotter,Microperforado,2,171.15,389.41,204.86,0
Plotter,Vinilo Adhesivo,31,223.76,492.66,4125.14,0
Offset,Couché 300g,6448,70.0,100.0,103.13,0
Offset,Folkote,29861,70.0,100.0,216.61,0
Digital,Couché 150g,449,21.0,29.7,41.85,0
Digital,Cartulina Hilo,813,21.0,29.7,80.86,1
Plotter,Vinilo Adhesivo,40,253.49,326.85,4020.46,0
Offset,Folkote,42779,70.0,100.0,293.8,0
Serigrafia,Cartón,471,40.0,50.0,270.22,0
Offset,Folkote,16422,70.0,100.0,152.78,0
Serigrafia,Plástico,305,40.0,50.0,210.77,0
Digital,Couché 150g,532,21.0,29.7,39.9,0
Offset,Bond 90g,35317,70.0,100.0,233.57,0
Plotter,Microperforado,7,233.4,396.19,806.46,0
Serigrafia,Plástico,268,40.0,50.0,177.26,0
Plotter,Microperforado,21,54.8,166.92,255.03,0
Digital,Cartulina Hilo,472,21.0,29.7,52.52,1
Serigrafia,Cartón,438,40.0,50.0,254.06,0
Plotter,Microperforado,11,163.59,429.96,958.17,0
Digital,Cartulina Hilo,232,21.0,29.7,32.7,1
Offset,Bond 90g,34361,70.0,100.0,252.34,0
Plotter,Vinilo Adhesivo,40,252.67,326.34,3984.81,0
Plotter,Vinilo Adhesivo,42,273.02,479.9,6643.82,0
Serigrafia,Tela,66,40.0,50.0,82.65,1
Offset,Bond 90g,4631,70.0,100.0,99.82,0
Offset,Couché 300g,7172,70.0,100.0,114.11,0
Plotter,Lona Banner,40,165.37,336.74,2701.29,0
Digital,Cartulina Hilo,851,21.0,29.7,58.06,0
Digital,Cartulina Hilo,994,21.0,29.7,53.08,0
Digital,Couché 150g,128,21.0,29.7,30.16,1
Digital,Couché 150g,222,21.0,29.7,45.86,1
Offset,Bond 90g,32186,70.0,100.0,229.89,0
Serigrafia,Plástico,249,40.0,50.0,168.74,0
Serigrafia,Tela,136,40.0,50.0,109.35,0
Digital,Bond 80g,457,21.0,29.7,49.7,1
Offset,Folkote,25034,70.0,100.0,192.15,0
Offset,Couché 300g,49355,70.0,100.0,334.76,0
Digital,Bond 80g,700,21.0,29.7,53.89,0
Plotter,Lona Banner,5,187.4,423.74,518.41,0
Digital,Bond 80g,569,21.0,29.7,63.41,1
Offset,Folkote,36144,70.0,100.0,248.15,0
Plotter,Vinilo Adhesivo,2,216.84,54.69,49.85,0
Plotter,Microperforado,41,210.98,288.64,3017.24,0
Digital,Cartulina Hilo,239,21.0,29.7,33.86,1
Serigrafia,Tela,213,40.0,50.0,158.37,0
Serigrafia,Plástico,189,40.0,50.0,129.39,0
Plotter,Lona Banner,13,195.61,386.63,1209.12,0
Offset,Bond 90g,10503,70.0,100.0,116.78,0
Plotter,Lona Banner,10,134.57,467.64,788.79,0
Plotter,Vinilo Adhesivo,9,143.04,244.43,428.18,0
Digital,Cartulina Hilo,839,21.0,29.7,55.92,0
Offset,Couché 300g,13275,70.0,100.0,136.54,0
Offset,Bond 90g,28935,70.0,100.0,216.36,0
Plotter,Vinilo Adhesivo,46,53.18,496.59,1475.59,0
Plotter,Microperforado,39,261.63,463.52,5716.76,0
Plotter,Vinilo Adhesivo,18,209.02,149.48,691.93,0
Serigrafia,Plástico,273,40.0,50.0,183.84,0
Digital,Cartulina Hilo,252,21.0,29.7,48.85,1
Plotter,Lona Banner,25,284.35,69.43,614.26,0
Serigrafia,Tela,307,40.0,50.0,202.5,0
Offset,Folkote,25858,70.0,100.0,197.78,0
Offset,Folkote,49689,70.0,100.0,323.75,0
Digital,Couché 150g,137,21.0,29.7,16.93,0
Digital,Cartulina Hilo,93,21.0,29.7,32.74,1
Plotter,Lona Banner,33,177.09,183.9,1336.65,0
Serigrafia,Tela,68,40.0,50.0,89.02,1
Digital,Cartulina Hilo,278,21.0,29.7,40.95,1
Serigrafia,Tela,160,40.0,50.0,127.06,0
Offset,Bond 90g,23656,70.0,100.0,181.23,0
Offset,Bond 90g,26860,70.0,100.0,205.75,0
Offset,Folkote,22727,70.0,100.0,194.74,0
Serigrafia,Tela,369,40.0,50.0,223.69,0
Serigrafia,Plástico,59,40.0,50.0,80.39,1
Offset,Couché 300g,35196,70.0,100.0,258.18,0
Offset,Couché 300g,26498,70.0,100.0,221.96,0
Offset,Couché 300g,12329,70.0,100.0,148.61,0
Digital,Cartulina Hilo,549,21.0,29.7,46.35,0
Serigrafia,Tela,469,40.0,50.0,265.0,0
Plotter,Lona Banner,31,126.4,444.49,2109.0,0
Serigrafia,Plástico,150,40.0,50.0,117.12,0
Digital,Cartulina Hilo,181,21.0,29.7,24.63,0
Serigrafia,Plástico,69,40.0,50.0,72.73,0
Digital,Cartulina Hilo,203,21.0,29.7,41.87,1
Serigrafia,Cartón,342,40.0,50.0,212.06,0
Digital,Couché 150g,990,21.0,29.7,70.38,0
Serigrafia,Cartón,69,40.0,50.0,89.3,1
Serigrafia,Tela,270,40.0,50.0,177.44,0
Plotter,Microperforado,14,230.85,96.86,413.0,0
Plotter,Lona Banner,24,219.12,412.25,2621.57,0
Serigrafia,Cartón,208,40.0,50.0,139.08,0
Digital,Bond 80g,713,21.0,29.7,64.51,1
Serigrafia,Plástico,158,40.0,50.0,129.53,0
Serigrafia,Cartón,68,40.0,50.0,74.06,0
Offset,Bond 90g,17044,70.0,100.0,155.9,0
Offset,Couché 300g,11720,70.0,100.0,124.74,0
Serigrafia,Cartón,195,40.0,50.0,136.67,0
Plotter,Lona Banner,28,233.92,499.26,3952.23,0
Plotter,Microperforado,45,93.37,336.9,1715.36,0
Offset,Bond 90g,35501,70.0,100.0,252.35,0
Plotter,Lona Banner,47,259.95,222.72,3314.26,0
Serigrafia,Cartón,110,40.0,50.0,115.43,1
Plotter,Microperforado,10,133.63,61.79,130.49,0
Serigrafia,Plástico,414,40.0,50.0,234.32,0
Serigrafia,Cartón,100,40.0,50.0,105.33,1
Serigrafia,Plástico,398,40.0,50.0,242.05,0
Offset,Bond 90g,8999,70.0,100.0,125.13,0
Plotter,Lona Banner,10,284.34,367.71,1279.32,0
Plotter,Microperforado,26,70.15,377.57,827.68,0
Offset,Couché 300g,4384,70.0,100.0,95.31,0
Digital,Bond 80g,661,21.0,29.7,52.03,0
Offset,Couché 300g,47907,70.0,100.0,319.22,0
Serigrafia,Cartón,413,40.0,50.0,255.45,0
Digital,Bond 80g,713,21.0,29.7,54.92,0
Serigrafia,Tela,85,40.0,50.0,77.96,0
Digital,Bond 80g,319,21.0,29.7,31.41,0
Digital,Couché 150g,681,21.0,29.7,58.38,1
Plotter,Lona Banner,31,162.43,399.52,2446.58,0
Serigrafia,Cartón,93,40.0,50.0,93.24,0
Offset,Couché 300g,31314,70.0,100.0,229.88,0
Serigrafia,Cartón,133,40.0,50.0,122.03,0
Offset,Couché 300g,16892,70.0,100.0,179.79,0
Offset,Bond 90g,48299,70.0,100.0,327.21,0
Offset,Folkote,32358,70.0,100.0,229.51,0
Digital,Couché 150g,448,21.0,29.7,48.07,1
Serigrafia,Tela,248,40.0,50.0,174.16,0
Offset,Bond 90g,12929,70.0,100.0,124.02,0
Offset,Folkote,6432,70.0,100.0,101.87,0
Plotter,Microperforado,37,295.32,165.44,2188.19,0
Serigrafia,Cartón,354,40.0,50.0,227.67,0
Plotter,Vinilo Adhesivo,19,127.17,476.17,1402.45,0
Offset,Couché 300g,34365,70.0,100.0,245.18,0
Serigrafia,Tela,338,40.0,50.0,203.84,0
Serigrafia,Cartón,403,40.0,50.0,247.12,0
Digital,Cartulina Hilo,77,21.0,29.7,25.89,1
Offset,Couché 300g,45629,70.0,100.0,304.67,0
Plotter,Lona Banner,49,185.88,86.78,967.75,0
Offset,Bond 90g,14140,70.0,100.0,116.49,0
Offset,Couché 300g,18921,70.0,100.0,158.36,0
Digital,Bond 80g,891,21.0,29.7,76.05,1
Serigrafia,Tela,147,40.0,50.0,117.27,0
Digital,Cartulina Hilo,728,21.0,29.7,72.59,1
Serigrafia,Cartón,135,40.0,50.0,121.94,0
Serigrafia,Plástico,343,40.0,50.0,209.61,0
Serigrafia,Cartón,493,40.0,50.0,292.22,0
Serigrafia,Tela,292,40.0,50.0,190.78,0
Digital,Couché 150g,880,21.0,29.7,47.67,0
Offset,Bond 90g,19708,70.0,100.0,173.17,0
Serigrafia,Tela,69,40.0,50.0,95.33,1
Serigrafia,Tela,421,40.0,50.0,258.25,0
Serigrafia,Tela,263,40.0,50.0,166.76,0
Offset,Folkote,1781,70.0,100.0,88.5,0
Digital,Couché 150g,972,21.0,29.7,74.46,0
Digital,Bond 80g,845,21.0,29.7,73.64,1
Serigrafia,Plástico,75,40.0,50.0,100.79,1
Offset,Bond 90g,23263,70.0,100.0,211.5,0
Offset,Couché 300g,14565,70.0,100.0,135.0,0
Plotter,Vinilo Adhesivo,42,174.45,97.46,877.72,0
Offset,Couché 300g,49563,70.0,100.0,300.77,0
Serigrafia,Plástico,476,40.0,50.0,272.63,0
Offset,Bond 90g,33658,70.0,100.0,229.72,0
Digital,Couché 150g,317,21.0,29.7,38.22,1
Digital,Cartulina Hilo,635,21.0,29.7,54.17,0
Serigrafia,Cartón,346,40.0,50.0,210.71,0
Offset,Bond 90g,11403,70.0,100.0,122.58,0
Digital,Bond 80g,954,21.0,29.7,61.46,0
Digital,Couché 150g,608,21.0,29.7,27.8,0
Offset,Folkote,20909,70.0,100.0,190.18,0
Plotter,Vinilo Adhesivo,12,91.51,326.06,467.55,0
Plotter,Microperforado,43,295.88,113.32,1757.39,0
Offset,Couché 300g,20584,70.0,100.0,176.98,0
Digital,Cartulina Hilo,977,21.0,29.7,70.63,0
Digital,Cartulina Hilo,941,21.0,29.7,66.54,0
Serigrafia,Tela,415,40.0,50.0,261.94,0
Serigrafia,Tela,295,40.0,50.0,183.91,0
Serigrafia,Cartón,178,40.0,50.0,145.42,0
Plotter,Microperforado,45,296.03,350.56,5623.31,0
Plotter,Vinilo Adhesivo,38,294.95,345.26,4677.87,0
Offset,Bond 90g,21095,70.0,100.0,180.8,0
Serigrafia,Tela,402,40.0,50.0,243.33,0
Offset,Bond 90g,27819,70.0,100.0,219.89,0
Plotter,Lona Banner,5,293.36,201.58,388.07,0
Serigrafia,Cartón,314,40.0,50.0,203.68,0
Serigrafia,Cartón,260,40.0,50.0,188.18,0
Digital,Couché 150g,621,21.0,29.7,53.01,0
Plotter,Microperforado,47,212.92,191.33,2308.01,0
Digital,Cartulina Hilo,777,21.0,29.7,76.82,1
Plotter,Microperforado,28,181.36,159.95,1004.47,0
Digital,Cartulina Hilo,205,21.0,29.7,29.6,1
Serigrafia,Tela,90,40.0,50.0,85.89,0
Offset,Folkote,7450,70.0,100.0,128.4,1
Offset,Couché 300g,40864,70.0,100.0,276.1,0
Plotter,Lona Banner,23,205.23,208.57,1210.39,0
Digital,Cartulina Hilo,832,21.0,29.7,78.85,1
Serigrafia,Tela,396,40.0,50.0,233.96,0
Plotter,Lona Banner,16,76.59,191.71,315.15,0
Offset,Bond 90g,11487,70.0,100.0,128.41,0
Offset,Couché 300g,22447,70.0,100.0,192.48,0
Offset,Bond 90g,37598,70.0,100.0,271.7,0
Plotter,Vinilo Adhesivo,4,266.6,146.99,204.64,0
Plotter,Lona Banner,15,103.16,64.94,160.86,0
Serigrafia,Plástico,191,40.0,50.0,127.33,0
Offset,Couché 300g,17843,70.0,100.0,171.05,0
Digital,Bond 80g,813,21.0,29.7,59.71,0
Digital,Bond 80g,894,21.0,29.7,72.52,1
Plotter,Vinilo Adhesivo,6,217.68,302.2,511.11,0
Digital,Cartulina Hilo,652,21.0,29.7,41.99,0
Plotter,Vinilo Adhesivo,14,266.14,295.99,1339.15,0
Digital,Cartulina Hilo,596,21.0,29.7,67.88,1
Serigrafia,Plástico,133,40.0,50.0,107.73,0
Plotter,Vinilo Adhesivo,49,60.51,382.96,1390.25,0
Serigrafia,Tela,481,40.0,50.0,289.72,0
Offset,Couché 300g,5088,70.0,100.0,105.57,0
Plotter,Vinilo Adhesivo,42,224.83,427.76,4874.48,0
Plotter,Vinilo Adhesivo,45,290.7,377.0,5957.04,0
Serigrafia,Plástico,324,40.0,50.0,201.73,0
Offset,Folkote,5493,70.0,100.0,98.66,0
Digital,Cartulina Hilo,725,21.0,29.7,58.43,0
Serigrafia,Plástico,473,40.0,50.0,264.5,0
Serigrafia,Tela,191,40.0,50.0,145.78,0
Offset,Bond 90g,30492,70.0,100.0,216.92,0
Serigrafia,Plástico,271,40.0,50.0,169.82,0
Serigrafia,Plástico,90,40.0,50.0,94.28,0
Offset,Couché 300g,25173,70.0,100.0,209.86,0
Offset,Folkote,6374,70.0,100.0,105.83,0
Offset,Bond 90g,32600,70.0,100.0,236.31,0
Plotter,Lona Banner,48,58.67,312.26,1077.88,0
Offset,Bond 90g,45900,70.0,100.0,304.86,0
Plotter,Lona Banner,3,172.09,381.9,261.47,0
Digital,Bond 80g,84,21.0,29.7,29.48,1
Plotter,Lona Banner,17,66.17,480.12,666.91,0
Serigrafia,Plástico,196,40.0,50.0,141.9,0
Offset,Couché 300g,27649,70.0,100.0,209.76,0
Offset,Couché 300g,15868,70.0,100.0,150.79,0
Digital,Cartulina Hilo,868,21.0,29.7,82.72,1
Serigrafia,Cartón,228,40.0,50.0,156.28,0
Digital,Bond 80g,181,21.0,29.7,25.94,1
Offset,Folkote,34539,70.0,100.0,251.58,0
Serigrafia,Tela,455,40.0,50.0,263.54,0
Digital,Bond 80g,396,21.0,29.7,35.49,0
Digital,Cartulina Hilo,410,21.0,29.7,68.41,1
Offset,Couché 300g,41197,70.0,100.0,282.06,0
Offset,Folkote,3261,70.0,100.0,83.88,0
Offset,Bond 90g,22259,70.0,100.0,173.09,0
Offset,Couché 300g,29933,70.0,100.0,222.46,0
Digital,Bond 80g,473,21.0,29.7,27.97,0
Serigrafia,Tela,191,40.0,50.0,125.45,0
Plotter,Microperforado,49,179.14,52.48,590.38,0
Offset,Couché 300g,18709,70.0,100.0,163.7,0
Offset,Bond 90g,31502,70.0,100.0,240.26,0
Serigrafia,Cartón,390,40.0,50.0,225.49,0
Offset,Bond 90g,32337,70.0,100.0,233.52,0
Digital,Cartulina Hilo,412,21.0,29.7,39.79,1
Digital,Bond 80g,578,21.0,29.7,62.44,1
Serigrafia,Plástico,393,40.0,50.0,251.88,0
Digital,Couché 150g,232,21.0,29.7,37.46,1
Offset,Couché 300g,4112,70.0,100.0,94.92,0
Plotter,Lona Banner,46,91.3,225.44,1160.29,0
Digital,Couché 150g,68,21.0,29.7,36.71,1
Plotter,Vinilo Adhesivo,45,201.98,189.22,2091.93,0
Offset,Bond 90g,34755,70.0,100.0,243.94,0
Offset,Folkote,36820,70.0,100.0,260.57,0
Digital,Couché 150g,480,21.0,29.7,50.45,1
Plotter,Vinilo Adhesivo,18,114.17,349.38,885.48,0
Digital,Couché 150g,722,21.0,29.7,39.58,0
Serigrafia,Tela,196,40.0,50.0,135.81,0
Serigrafia,Plástico,288,40.0,50.0,204.21,0
Plotter,Lona Banner,33,151.06,194.49,1188.5,0
Plotter,Vinilo Adhesivo,41,285.43,350.86,4946.27,0
Plotter,Microperforado,11,199.67,275.97,771.48,0
Serigrafia,Plástico,100,40.0,50.0,97.07,0
Offset,Couché 300g,47619,70.0,100.0,320.68,0
Plotter,Microperforado,3,230.99,104.25,105.26,0
Digital,Couché 150g,130,21.0,29.7,32.59,1
Plotter,Vinilo Adhesivo,41,155.51,182.77,1455.15,0
Offset,Bond 90g,32705,70.0,100.0,233.67,0
Serigrafia,Plástico,406,40.0,50.0,249.6,0
